986 1032
119 6422528 _
120 512 /predictor/res3/b4/bn2/gamma
121 6422528 _
122 25690112 _
123 6422528 _
124 6422528 _
125 6422528 _
126 512 /predictor/res3/b4/bn2/beta
127 25690112 _
128 6422528 _
129 262144 /predictor/res3/b4/conv3/W
130 25690112 _
131 25690112 _
132 6422528 _
133 6422528 _
134 25690112 _
135 2048 /predictor/res3/b4/bn3/gamma
136 6422528 _
137 25690112 _
138 25690112 _
139 6422528 _
140 2048 /predictor/res3/b4/bn3/beta
141 25690112 _
142 25690112 _
143 25690112 _
144 262144 /predictor/res3/b5/conv1/W
145 25690112 _
146 6422528 _
147 6422528 _
148 25690112 _
149 6422528 _
150 512 /predictor/res3/b5/bn1/gamma
151 6422528 _
152 25690112 _
153 25690112 _
154 512 /predictor/res3/b5/bn1/beta
155 6422528 _
156 6422528 _
157 6422528 _
158 6422528 _
159 25690112 _
160 6422528 _
161 25690112 _
162 25690112 _
163 6422528 _
164 25690112 _
165 6422528 _
166 6422528 _
167 6422528 _
168 12845056 _
169 12845056 _
170 8388608 /predictor/res5/a/conv4/W
171 8192 /predictor/res5/a/bn4/gamma
172 8192 /predictor/res5/a/bn4/beta
173 12845056 _
174 51380224 _
175 12845056 _
176 4194304 /predictor/res5/b1/conv1/W
177 51380224 _
178 2048 /predictor/res5/b1/bn1/gamma
179 51380224 _
180 2048 /predictor/res5/b1/bn1/beta
181 12845056 _
182 9437184 /predictor/res5/b1/conv2/W
183 51380224 _
184 2048 /predictor/res5/b1/bn2/gamma
185 12845056 _
186 2048 /predictor/res5/b1/bn2/beta
187 12845056 _
188 12845056 _
189 4194304 /predictor/res5/b1/conv3/W
190 8192 /predictor/res5/b1/bn3/gamma
191 51380224 _
192 8192 /predictor/res5/b1/bn3/beta
193 12845056 _
194 3211264 _
195 3211264 _
196 1048576 /predictor/res4/b29/conv1/W
197 1048576 /predictor/res4/b21/conv1/W
198 3211264 _
199 1024 /predictor/res4/b29/bn1/gamma
200 1024 /predictor/res4/b21/bn1/gamma
201 1024 /predictor/res4/b29/bn1/beta
202 1024 /predictor/res4/b21/bn1/beta
203 3211264 _
204 2359296 /predictor/res4/b29/conv2/W
205 2359296 /predictor/res4/b21/conv2/W
206 12845056 _
207 3211264 _
208 1024 /predictor/res4/b29/bn2/gamma
209 1024 /predictor/res4/b21/bn2/gamma
210 262144 _
211 1024 /predictor/res4/b29/bn2/beta
212 1024 /predictor/res4/b21/bn2/beta
213 12845056 _
214 128000 _
215 12845056 _
216 1048576 /predictor/res4/b29/conv3/W
217 1048576 /predictor/res4/b21/conv3/W
218 12845056 _
219 4096 /predictor/res4/b29/bn3/gamma
220 4096 /predictor/res4/b21/bn3/gamma
221 4096 /predictor/res4/b29/bn3/beta
222 4096 /predictor/res4/b21/bn3/beta
223 4 _
224 1048576 /predictor/res4/b30/conv1/W
225 1048576 /predictor/res4/b22/conv1/W
226 1024 /predictor/res4/b30/bn1/gamma
227 1024 /predictor/res4/b22/bn1/gamma
228 1024 /predictor/res4/b30/bn1/beta
229 1024 /predictor/res4/b22/bn1/beta
230 6422528 _
231 25690112 _
232 1048576 /predictor/res4/b13/conv1/W
233 6422528 _
234 25690112 _
235 1024 /predictor/res4/b13/bn1/gamma
236 6422528 _
237 6422528 _
238 25690112 _
239 1024 /predictor/res4/b13/bn1/beta
240 1024 /predictor/res2/a/bn4/gamma
241 2359296 /predictor/res4/b13/conv2/W
242 6422528 _
243 6422528 _
244 1024 /predictor/res4/b13/bn2/gamma
245 6422528 _
246 25690112 _
247 6422528 _
248 6422528 _
249 1024 /predictor/res4/b13/bn2/beta
250 1048576 /predictor/res4/b13/conv3/W
251 25690112 _
252 25690112 _
253 6422528 _
254 4096 /predictor/res4/b13/bn3/gamma
255 6422528 _
256 25690112 _
257 6422528 _
258 4096 /predictor/res4/b13/bn3/beta
259 25690112 _
260 1048576 /predictor/res4/b14/conv1/W
261 25690112 _
262 6422528 _
263 25690112 _
264 6422528 _
265 6422528 _
266 1024 /predictor/res4/b14/bn1/gamma
267 6422528 _
268 25690112 _
269 1024 /predictor/res4/b14/bn1/beta
270 1048576 /predictor/res4/b5/conv1/W
271 6422528 _
272 25690112 _
273 1024 /predictor/res4/b5/bn1/gamma
274 6422528 _
275 102760448 _
276 1024 /predictor/res4/b5/bn1/beta
277 102760448 _
278 2359296 /predictor/res4/b5/conv2/W
279 25690112 _
280 25690112 _
281 6422528 _
282 1024 /predictor/res4/b5/bn2/gamma
283 25690112 _
284 25690112 _
285 1024 /predictor/res4/b5/bn2/beta
286 1048576 /predictor/res4/b5/conv3/W
287 6422528 _
288 25690112 _
289 4096 /predictor/res4/b5/bn3/gamma
290 6422528 _
291 6422528 _
292 25690112 _
293 4096 /predictor/res4/b5/bn3/beta
294 25690112 _
295 1048576 /predictor/res4/b6/conv1/W
296 6422528 _
297 25690112 _
298 25690112 _
299 1024 /predictor/res4/b6/bn1/gamma
300 6422528 _
301 102760448 _
302 25690112 _
303 1024 /predictor/res4/b6/bn1/beta
304 256 /predictor/res2/a/bn2/beta
305 589824 /predictor/res3/b5/conv2/W
306 65536 /predictor/res2/a/conv3/W
307 512 /predictor/res3/b5/bn2/gamma
308 1024 /predictor/res2/a/bn3/gamma
309 512 /predictor/res3/b5/bn2/beta
310 1024 /predictor/res2/a/bn3/beta
311 262144 /predictor/res3/b5/conv3/W
312 65536 /predictor/res2/a/conv4/W
313 256 /predictor/res2/b1/bn1/gamma
314 2048 /predictor/res3/b5/bn3/gamma
315 2048 /predictor/res3/b5/bn3/beta
316 256 /predictor/res2/b1/bn1/beta
317 147456 /predictor/res2/b1/conv2/W
318 262144 /predictor/res3/b6/conv1/W
319 256 /predictor/res2/b1/bn2/gamma
320 512 /predictor/res3/b6/bn1/gamma
321 256 /predictor/res2/b1/bn2/beta
322 512 /predictor/res3/b6/bn1/beta
323 65536 /predictor/res2/b1/conv3/W
324 589824 /predictor/res3/b6/conv2/W
325 1024 /predictor/res2/b1/bn3/gamma
326 512 /predictor/res3/b6/bn2/gamma
327 1024 /predictor/res2/a/bn4/beta
328 1024 /predictor/res2/b1/bn3/beta
329 512 /predictor/res3/b6/bn2/beta
330 12845056 _
331 2359296 /predictor/res4/b30/conv2/W
332 2359296 /predictor/res4/b22/conv2/W
333 6422528 _
334 25690112 _
335 25690112 _
336 6422528 _
337 1024 /predictor/res4/b30/bn2/gamma
338 1024 /predictor/res4/b22/bn2/gamma
339 12845056 _
340 25690112 _
341 51380224 _
342 6422528 _
343 51380224 _
344 1024 /predictor/res4/b30/bn2/beta
345 1024 /predictor/res4/b22/bn2/beta
346 25690112 _
347 1048576 /predictor/res4/b30/conv3/W
348 1048576 /predictor/res4/b22/conv3/W
349 51380224 _
350 25690112 _
351 25690112 _
352 6422528 _
353 4096 /predictor/res4/b30/bn3/gamma
354 4096 /predictor/res4/b22/bn3/gamma
355 6422528 _
356 6422528 _
357 6422528 _
358 4096 /predictor/res4/b30/bn3/beta
359 4096 /predictor/res4/b22/bn3/beta
360 12845056 _
361 25690112 _
362 12845056 _
363 12845056 _
364 1048576 /predictor/res4/b31/conv1/W
365 1048576 /predictor/res4/b23/conv1/W
366 6422528 _
367 6422528 _
368 1024 /predictor/res4/b31/bn1/gamma
369 6422528 _
370 1024 /predictor/res4/b23/bn1/gamma
371 6422528 _
372 25690112 _
373 6422528 _
374 12845056 _
375 1024 /predictor/res4/b31/bn1/beta
376 1024 /predictor/res4/b23/bn1/beta
377 51380224 _
378 12845056 _
379 2359296 /predictor/res4/b31/conv2/W
380 2359296 /predictor/res4/b23/conv2/W
381 25690112 _
382 25690112 _
383 6422528 _
384 12845056 _
385 1024 /predictor/res4/b31/bn2/gamma
386 1024 /predictor/res4/b23/bn2/gamma
387 51380224 _
388 25690112 _
389 6422528 _
390 6422528 _
391 51380224 _
392 1024 /predictor/res4/b31/bn2/beta
393 1024 /predictor/res4/b23/bn2/beta
394 25690112 _
395 2359296 /predictor/res4/b14/conv2/W
396 2359296 /predictor/res4/b6/conv2/W
397 4194304 /predictor/res5/b2/conv1/W
398 1024 /predictor/res4/b14/bn2/gamma
399 1024 /predictor/res4/b6/bn2/gamma
400 2048 /predictor/res5/b2/bn1/gamma
401 1024 /predictor/res4/b14/bn2/beta
402 1024 /predictor/res4/b6/bn2/beta
403 2048 /predictor/res5/b2/bn1/beta
404 1048576 /predictor/res4/b14/conv3/W
405 1048576 /predictor/res4/b6/conv3/W
406 9437184 /predictor/res5/b2/conv2/W
407 4096 /predictor/res4/b14/bn3/gamma
408 4096 /predictor/res4/b6/bn3/gamma
409 2048 /predictor/res5/b2/bn2/gamma
410 4096 /predictor/res4/b14/bn3/beta
411 4096 /predictor/res4/b6/bn3/beta
412 2048 /predictor/res5/b2/bn2/beta
413 4194304 /predictor/res5/b2/conv3/W
414 1048576 /predictor/res4/b15/conv1/W
415 1048576 /predictor/res4/b7/conv1/W
416 8192 /predictor/res5/b2/bn3/gamma
417 1024 /predictor/res4/b15/bn1/gamma
418 1024 /predictor/res4/b7/bn1/gamma
419 8192 /predictor/res5/b2/bn3/beta
420 1024 /predictor/res4/b15/bn1/beta
421 1024 /predictor/res4/b7/bn1/beta
422 8192000 /predictor/fc6/W
423 2359296 /predictor/res4/b15/conv2/W
424 2359296 /predictor/res4/b7/conv2/W
425 4000 /predictor/fc6/b
426 1024 /predictor/res4/b15/bn2/gamma
427 1024 /predictor/res4/b7/bn2/gamma
428 1024 /predictor/res4/b15/bn2/beta
429 1024 /predictor/res4/b7/bn2/beta
430 37632 /predictor/conv1/W
431 6422528 _
432 6422528 _
433 6422528 _
434 6422528 _
435 25690112 _
436 6422528 _
437 25690112 _
438 25690112 _
439 6422528 _
440 25690112 _
441 6422528 _
442 6422528 _
443 6422528 _
444 6422528 _
445 25690112 _
446 25690112 _
447 25690112 _
448 6422528 _
449 6422528 _
450 6422528 _
451 6422528 _
452 25690112 _
453 6422528 _
454 25690112 _
455 25690112 _
456 6422528 _
457 25690112 _
458 1048576 /predictor/res4/b23/conv3/W
459 262144 /predictor/res3/b6/conv3/W
460 65536 /predictor/res2/b2/conv1/W
461 4096 /predictor/res4/b23/bn3/gamma
462 2048 /predictor/res3/b6/bn3/gamma
463 256 /predictor/res2/b2/bn1/gamma
464 2048 /predictor/res3/b6/bn3/beta
465 4096 /predictor/res4/b23/bn3/beta
466 256 /predictor/res2/b2/bn1/beta
467 147456 /predictor/res2/b2/conv2/W
468 262144 /predictor/res3/b7/conv1/W
469 1048576 /predictor/res4/b24/conv1/W
470 256 /predictor/res2/b2/bn2/gamma
471 512 /predictor/res3/b7/bn1/gamma
472 1024 /predictor/res4/b24/bn1/gamma
473 256 /predictor/res2/b2/bn2/beta
474 1024 /predictor/res4/b24/bn1/beta
475 512 /predictor/res3/b7/bn1/beta
476 65536 /predictor/res2/b2/conv3/W
477 589824 /predictor/res3/b7/conv2/W
478 2359296 /predictor/res4/b24/conv2/W
479 1024 /predictor/res2/b2/bn3/gamma
480 512 /predictor/res3/b7/bn2/gamma
481 1024 /predictor/res4/b24/bn2/gamma
482 1024 /predictor/res2/b2/bn3/beta
483 1024 /predictor/res4/b24/bn2/beta
484 512 /predictor/res3/b7/bn2/beta
485 1048576 /predictor/res4/b24/conv3/W
486 262144 /predictor/res3/b7/conv3/W
487 131072 /predictor/res3/a/conv1/W
488 4096 /predictor/res4/b24/bn3/gamma
489 2048 /predictor/res3/b7/bn3/gamma
490 512 /predictor/res3/a/bn1/gamma
491 4096 /predictor/res4/b24/bn3/beta
492 2048 /predictor/res3/b7/bn3/beta
493 512 /predictor/res3/a/bn1/beta
494 1048576 /predictor/res4/b15/conv3/W
495 6422528 _
496 6422528 _
497 6422528 _
498 4096 /predictor/res4/b15/bn3/gamma
499 25690112 _
500 6422528 _
501 25690112 _
502 6422528 _
503 6422528 _
504 6422528 _
505 4096 /predictor/res4/b15/bn3/beta
506 25690112 _
507 1048576 /predictor/res4/b16/conv1/W
508 25690112 _
509 25690112 _
510 25690112 _
511 6422528 _
512 6422528 _
513 6422528 _
514 25690112 _
515 1024 /predictor/res4/b16/bn1/gamma
516 6422528 _
517 25690112 _
518 25690112 _
519 1024 /predictor/res4/b16/bn1/beta
520 2359296 /predictor/res4/b16/conv2/W
521 25690112 _
522 6422528 _
523 25690112 _
524 6422528 _
525 6422528 _
526 1024 /predictor/res4/b16/bn2/gamma
527 6422528 _
528 6422528 _
529 6422528 _
530 6422528 _
531 25690112 _
532 1024 /predictor/res4/b16/bn2/beta
533 1048576 /predictor/res4/b16/conv3/W
534 6422528 _
535 6422528 _
536 6422528 _
537 4096 /predictor/res4/b16/bn3/gamma
538 25690112 _
539 6422528 _
540 25690112 _
541 6422528 _
542 6422528 _
543 6422528 _
544 4096 /predictor/res4/b16/bn3/beta
545 3211264 _
546 1048576 /predictor/res4/b31/conv3/W
547 6422528 _
548 51380224 _
549 25690112 _
550 25690112 _
551 6422528 _
552 4096 /predictor/res4/b31/bn3/gamma
553 6422528 _
554 6422528 _
555 4096 /predictor/res4/b31/bn3/beta
556 12845056 _
557 25690112 _
558 12845056 _
559 12845056 _
560 1048576 /predictor/res4/b32/conv1/W
561 6422528 _
562 6422528 _
563 6422528 _
564 1024 /predictor/res4/b32/bn1/gamma
565 25690112 _
566 6422528 _
567 6422528 _
568 12845056 _
569 1024 /predictor/res4/b32/bn1/beta
570 51380224 _
571 12845056 _
572 2359296 /predictor/res4/b32/conv2/W
573 25690112 _
574 25690112 _
575 6422528 _
576 1024 /predictor/res4/b32/bn2/gamma
577 6422528 _
578 25690112 _
579 51380224 _
580 6422528 _
581 51380224 _
582 1024 /predictor/res4/b32/bn2/beta
583 25690112 _
584 12845056 _
585 1048576 /predictor/res4/b32/conv3/W
586 51380224 _
587 25690112 _
588 25690112 _
589 6422528 _
590 4096 /predictor/res4/b32/bn3/gamma
591 6422528 _
592 6422528 _
593 6422528 _
594 4096 /predictor/res4/b32/bn3/beta
595 12845056 _
596 25690112 _
597 1048576 /predictor/res4/b7/conv3/W
598 4096 /predictor/res4/b7/bn3/gamma
599 4096 /predictor/res4/b7/bn3/beta
600 1048576 /predictor/res4/b8/conv1/W
601 1024 /predictor/res4/b8/bn1/gamma
602 1024 /predictor/res4/b8/bn1/beta
603 2359296 /predictor/res4/b8/conv2/W
604 1024 /predictor/res4/b8/bn2/gamma
605 25690112 _
606 1024 /predictor/res4/b8/bn2/beta
607 1048576 /predictor/res4/b8/conv3/W
608 4096 /predictor/res4/b8/bn3/gamma
609 4096 /predictor/res4/b8/bn3/beta
610 524288 /predictor/res4/a/conv1/W
611 1024 /predictor/res4/a/bn1/gamma
612 1024 /predictor/res4/a/bn1/beta
613 2359296 /predictor/res4/a/conv2/W
614 1024 /predictor/res4/a/bn2/gamma
615 1024 /predictor/res4/a/bn2/beta
616 1048576 /predictor/res4/a/conv3/W
617 4096 /predictor/res4/a/bn3/gamma
618 4096 /predictor/res4/a/bn3/beta
619 2097152 /predictor/res4/a/conv4/W
620 4096 /predictor/res4/a/bn4/gamma
621 4096 /predictor/res4/a/bn4/beta
622 6422528 _
623 25690112 _
624 589824 /predictor/res3/a/conv2/W
625 25690112 _
626 512 /predictor/res3/a/bn2/gamma
627 25690112 _
628 512 /predictor/res3/a/bn2/beta
629 262144 /predictor/res3/a/conv3/W
630 6422528 _
631 2048 /predictor/res3/a/bn3/gamma
632 6422528 _
633 6422528 _
634 2048 /predictor/res3/a/bn3/beta
635 524288 /predictor/res3/a/conv4/W
636 6422528 _
637 2048 /predictor/res3/a/bn4/gamma
638 25690112 _
639 6422528 _
640 2048 /predictor/res3/a/bn4/beta
641 262144 /predictor/res3/b1/conv1/W
642 25690112 _
643 25690112 _
644 6422528 _
645 512 /predictor/res3/b1/bn1/gamma
646 25690112 _
647 512 /predictor/res3/b1/bn1/beta
648 1048576 /predictor/res4/b33/conv1/W
649 1048576 /predictor/res4/b25/conv1/W
650 1024 /predictor/res4/b33/bn1/gamma
651 1024 /predictor/res4/b25/bn1/gamma
652 1024 /predictor/res4/b33/bn1/beta
653 1024 /predictor/res4/b25/bn1/beta
654 2359296 /predictor/res4/b33/conv2/W
655 2359296 /predictor/res4/b25/conv2/W
656 1024 /predictor/res4/b33/bn2/gamma
657 1024 /predictor/res4/b25/bn2/gamma
658 1024 /predictor/res4/b33/bn2/beta
659 1024 /predictor/res4/b25/bn2/beta
660 1048576 /predictor/res4/b33/conv3/W
661 1048576 /predictor/res4/b25/conv3/W
662 4096 /predictor/res4/b33/bn3/gamma
663 4096 /predictor/res4/b25/bn3/gamma
664 4096 /predictor/res4/b33/bn3/beta
665 4096 /predictor/res4/b25/bn3/beta
666 1048576 /predictor/res4/b34/conv1/W
667 1048576 /predictor/res4/b26/conv1/W
668 1024 /predictor/res4/b34/bn1/gamma
669 1024 /predictor/res4/b26/bn1/gamma
670 1024 /predictor/res4/b34/bn1/beta
671 1024 /predictor/res4/b26/bn1/beta
672 12845056 _
673 12845056 _
674 102760448 _
675 1048576 /predictor/res4/b9/conv1/W
676 25690112 _
677 1048576 /predictor/res4/b17/conv1/W
678 25690112 _
679 6422528 _
680 6422528 _
681 6422528 _
682 25690112 _
683 1024 /predictor/res4/b9/bn1/gamma
684 6422528 _
685 25690112 _
686 1024 /predictor/res4/b17/bn1/gamma
687 6422528 _
688 6422528 _
689 6422528 _
690 25690112 _
691 12845056 _
692 1024 /predictor/res4/b17/bn1/beta
693 1024 /predictor/res4/b9/bn1/beta
694 51380224 _
695 12845056 _
696 2359296 /predictor/res4/b9/conv2/W
697 25690112 _
698 2359296 /predictor/res4/b17/conv2/W
699 3211264 _
700 25690112 _
701 25690112 _
702 6422528 _
703 25690112 _
704 3211264 _
705 6422528 _
706 1024 /predictor/res4/b9/bn2/gamma
707 51380224 _
708 3211264 _
709 6422528 _
710 1024 /predictor/res4/b17/bn2/gamma
711 25690112 _
712 6422528 _
713 51380224 _
714 25690112 _
715 1024 /predictor/res4/b17/bn2/beta
716 25690112 _
717 1024 /predictor/res4/b9/bn2/beta
718 12845056 _
719 1048576 /predictor/res4/b17/conv3/W
720 51380224 _
721 1048576 /predictor/res4/b9/conv3/W
722 25690112 _
723 3211264 _
724 25690112 _
725 6422528 _
726 6422528 _
727 4096 /predictor/res4/b9/bn3/gamma
728 12845056 _
729 4096 /predictor/res4/b17/bn3/gamma
730 3211264 _
731 6422528 _
732 6422528 _
733 6422528 _
734 6422528 _
735 6422528 _
736 12845056 _
737 4096 /predictor/res4/b17/bn3/beta
738 4096 /predictor/res4/b9/bn3/beta
739 25690112 _
740 12845056 _
741 12845056 _
742 12845056 _
743 1048576 /predictor/res4/b10/conv1/W
744 12845056 _
745 1048576 /predictor/res4/b18/conv1/W
746 6422528 _
747 6422528 _
748 6422528 _
749 3211264 _
750 1024 /predictor/res4/b10/bn1/gamma
751 6422528 _
752 25690112 _
753 51380224 _
754 1024 /predictor/res4/b18/bn1/gamma
755 6422528 _
756 6422528 _
757 25690112 _
758 6422528 _
759 12845056 _
760 1024 /predictor/res4/b10/bn1/beta
761 1024 /predictor/res4/b18/bn1/beta
762 12845056 _
763 25690112 _
764 102760448 _
765 6422528 _
766 102760448 _
767 25690112 _
768 6422528 _
769 102760448 _
770 25690112 _
771 25690112 _
772 102760448 _
773 6422528 _
774 102760448 _
775 25690112 _
776 25690112 _
777 6422528 _
778 25690112 _
779 25690112 _
780 6422528 _
781 6422528 _
782 25690112 _
783 6422528 _
784 102760448 _
785 25690112 _
786 25690112 _
787 6422528 _
788 589824 /predictor/res3/b1/conv2/W
789 1048576 /predictor/res4/b1/conv1/W
790 512 /predictor/res3/b1/bn2/gamma
791 1024 /predictor/res4/b1/bn1/gamma
792 512 /predictor/res3/b1/bn2/beta
793 1024 /predictor/res4/b1/bn1/beta
794 262144 /predictor/res3/b1/conv3/W
795 2359296 /predictor/res4/b1/conv2/W
796 2048 /predictor/res3/b1/bn3/gamma
797 1024 /predictor/res4/b1/bn2/gamma
798 2048 /predictor/res3/b1/bn3/beta
799 1024 /predictor/res4/b1/bn2/beta
800 1048576 /predictor/res4/b1/conv3/W
801 262144 /predictor/res3/b2/conv1/W
802 4096 /predictor/res4/b1/bn3/gamma
803 512 /predictor/res3/b2/bn1/gamma
804 4096 /predictor/res4/b1/bn3/beta
805 512 /predictor/res3/b2/bn1/beta
806 589824 /predictor/res3/b2/conv2/W
807 1048576 /predictor/res4/b2/conv1/W
808 512 /predictor/res3/b2/bn2/gamma
809 1024 /predictor/res4/b2/bn1/gamma
810 512 /predictor/res3/b2/bn2/beta
811 1024 /predictor/res4/b2/bn1/beta
812 2359296 /predictor/res4/b34/conv2/W
813 6422528 _
814 25690112 _
815 25690112 _
816 6422528 _
817 1024 /predictor/res4/b34/bn2/gamma
818 6422528 _
819 6422528 _
820 1024 /predictor/res4/b34/bn2/beta
821 25690112 _
822 1048576 /predictor/res4/b34/conv3/W
823 6422528 _
824 6422528 _
825 4096 /predictor/res4/b34/bn3/gamma
826 6422528 _
827 25690112 _
828 6422528 _
829 6422528 _
830 4096 /predictor/res4/b34/bn3/beta
831 1048576 /predictor/res4/b35/conv1/W
832 25690112 _
833 25690112 _
834 6422528 _
835 6422528 _
836 1024 /predictor/res4/b35/bn1/gamma
837 25690112 _
838 6422528 _
839 25690112 _
840 1024 /predictor/res4/b35/bn1/beta
841 2359296 /predictor/res4/b35/conv2/W
842 25690112 _
843 25690112 _
844 6422528 _
845 1024 /predictor/res4/b35/bn2/gamma
846 6422528 _
847 6422528 _
848 6422528 _
849 1024 /predictor/res4/b35/bn2/beta
850 25690112 _
851 2359296 /predictor/res4/b18/conv2/W
852 1024 /predictor/res4/b18/bn2/gamma
853 1024 /predictor/res4/b18/bn2/beta
854 1048576 /predictor/res4/b18/conv3/W
855 4096 /predictor/res4/b18/bn3/gamma
856 4096 /predictor/res4/b18/bn3/beta
857 1048576 /predictor/res4/b19/conv1/W
858 1024 /predictor/res4/b19/bn1/gamma
859 1024 /predictor/res4/b19/bn1/beta
860 2359296 /predictor/res4/b19/conv2/W
861 1024 /predictor/res4/b19/bn2/gamma
862 1024 /predictor/res4/b19/bn2/beta
863 12845056 _
864 2359296 /predictor/res4/b2/conv2/W
865 2359296 /predictor/res4/b26/conv2/W
866 6422528 _
867 2359296 /predictor/res4/b10/conv2/W
868 25690112 _
869 25690112 _
870 1024 /predictor/res4/b26/bn2/gamma
871 1024 /predictor/res4/b10/bn2/gamma
872 1024 /predictor/res4/b2/bn2/gamma
873 12845056 _
874 51380224 _
875 51380224 _
876 1024 /predictor/res4/b26/bn2/beta
877 25690112 _
878 1024 /predictor/res4/b10/bn2/beta
879 1024 /predictor/res4/b2/bn2/beta
880 1048576 /predictor/res4/b26/conv3/W
881 1048576 /predictor/res4/b10/conv3/W
882 1048576 /predictor/res4/b2/conv3/W
883 51380224 _
884 6422528 _
885 4096 /predictor/res4/b26/bn3/gamma
886 4096 /predictor/res4/b10/bn3/gamma
887 4096 /predictor/res4/b2/bn3/gamma
888 6422528 _
889 6422528 _
890 4096 /predictor/res4/b26/bn3/beta
891 4096 /predictor/res4/b10/bn3/beta
892 4096 /predictor/res4/b2/bn3/beta
893 12845056 _
894 12845056 _
895 12845056 _
896 1048576 /predictor/res4/b27/conv1/W
897 1048576 /predictor/res4/b11/conv1/W
898 1048576 /predictor/res4/b3/conv1/W
899 6422528 _
900 1024 /predictor/res4/b27/bn1/gamma
901 25690112 _
902 1024 /predictor/res4/b11/bn1/gamma
903 1024 /predictor/res4/b3/bn1/gamma
904 6422528 _
905 12845056 _
906 1024 /predictor/res4/b27/bn1/beta
907 1024 /predictor/res4/b11/bn1/beta
908 1024 /predictor/res4/b3/bn1/beta
909 51380224 _
910 12845056 _
911 2359296 /predictor/res4/b27/conv2/W
912 2359296 /predictor/res4/b11/conv2/W
913 2359296 /predictor/res4/b3/conv2/W
914 25690112 _
915 25690112 _
916 1024 /predictor/res4/b27/bn2/gamma
917 6422528 _
918 1024 /predictor/res4/b11/bn2/gamma
919 1024 /predictor/res4/b3/bn2/gamma
920 51380224 _
921 6422528 _
922 51380224 _
923 1024 /predictor/res4/b27/bn2/beta
924 25690112 _
925 1024 /predictor/res4/b11/bn2/beta
926 1024 /predictor/res4/b3/bn2/beta
927 262144 /predictor/res3/b2/conv3/W
928 6422528 _
